iter	Passed	Remaining
0	38	38501
1	68	34397
2	97	32264
3	125	31197
4	152	30438
5	182	30282
6	211	30063
7	243	30197
8	274	30185
9	305	30219
10	333	29953
11	360	29688
12	388	29495
13	416	29331
14	448	29429
15	477	29361
16	507	29325
17	534	29170
18	565	29223
19	595	29161
20	625	29181
21	656	29162
22	685	29128
23	715	29095
24	743	28998
25	771	28890
26	800	28836
27	828	28763
28	858	28736
29	886	28671
30	916	28655
31	945	28598
32	974	28556
33	1002	28477
34	1031	28428
35	1060	28397
36	1089	28365
37	1119	28350
38	1148	28309
39	1177	28269
40	1207	28248
41	1237	28225
42	1265	28168
43	1294	28122
44	1323	28086
45	1352	28059
46	1382	28036
47	1409	27959
48	1439	27933
49	1467	27876
50	1496	27840
51	1525	27806
52	1555	27793
53	1584	27758
54	1613	27722
55	1642	27686
56	1673	27680
57	1703	27660
58	1729	27585
59	1758	27544
60	1786	27507
61	1815	27466
62	1845	27449
63	1873	27398
64	1901	27356
65	1928	27298
66	1958	27268
67	1985	27219
68	2014	27179
69	2043	27149
70	2071	27101
71	2099	27053
72	2125	26994
73	2154	26954
74	2182	26923
75	2211	26892
76	2241	26865
77	2269	26831
78	2298	26791
79	2318	26668
80	2347	26628
81	2375	26590
82	2403	26550
83	2430	26509
84	2458	26467
85	2487	26434
86	2514	26388
87	2542	26352
88	2570	26307
89	2597	26261
90	2623	26209
91	2650	26160
92	2678	26118
93	2707	26091
94	2735	26063
95	2765	26039
96	2794	26013
97	2822	25976
98	2849	25932
99	2877	25899
100	2906	25867
101	2933	25830
102	2961	25789
103	2988	25746
104	3020	25749
105	3057	25784
106	3089	25785
107	3117	25748
108	3146	25717
109	3175	25695
110	3203	25656
111	3233	25635
112	3261	25603
113	3293	25598
114	3322	25570
115	3352	25551
116	3381	25523
117	3409	25484
118	3439	25460
119	3465	25417
120	3494	25387
121	3525	25368
122	3554	25347
123	3581	25303
124	3609	25265
125	3638	25236
126	3666	25203
127	3695	25172
128	3722	25134
129	3750	25098
130	3778	25065
131	3805	25023
132	3834	24997
133	3862	24963
134	3890	24926
135	3917	24887
136	3946	24856
137	3975	24831
138	4003	24800
139	4032	24769
140	4061	24744
141	4091	24720
142	4118	24679
143	4145	24644
144	4178	24635
145	4206	24603
146	4233	24565
147	4262	24536
148	4291	24508
149	4318	24470
150	4346	24437
151	4374	24406
152	4403	24377
153	4431	24346
154	4460	24316
155	4488	24283
156	4515	24243
157	4544	24217
158	4574	24193
159	4602	24163
160	4630	24131
161	4659	24104
162	4688	24073
163	4715	24036
164	4743	24005
165	4772	23975
166	4801	23948
167	4828	23912
168	4857	23885
169	4885	23852
170	4913	23819
171	4941	23789
172	4969	23757
173	4998	23729
174	5027	23699
175	5055	23667
176	5082	23631
177	5110	23601
178	5138	23566
179	5166	23536
180	5196	23512
181	5224	23480
182	5252	23450
183	5279	23411
184	5306	23378
185	5334	23344
186	5361	23309
187	5388	23275
188	5416	23241
189	5443	23207
190	5470	23172
191	5499	23144
192	5527	23110
193	5555	23080
194	5583	23051
